id,name,description,department,department_tags,template_id,training_page_id,from_name,from_email,timezone,notification_emails,start_date,end_date,status,target_count,open_count,click_count,submit_count,fiscal_year,fiscal_quarter,week_of_year,created_at,training_link_token,report_capture_inbox_file_key,report_capture_email_file_key,report_capture_malicious_file_key,report_capture_training_file_key,send_validation_error,tenant_id,smtp_account_id
f6c8b112-300a-4054-b02c-fc30d51c611c,2025년 02월 거래처 요청 위장 대응 훈련 2차,거래처 요청과 납품 일정을 위장한 메일을 중심으로 승인 절차를 점검합니다. 지출 결의와 세금계산서를 가장한 승인 요청에 대한 대응력을 높입니다.,재무전략실,"{재무전략실,결재보안}",tmpl-shipping-alert,tp-guide-1,정보보안팀,security@company.com,Asia/Seoul,"{security@company.com,financecontrol@company.com}",2025-02-17 09:00:00,2025-02-20 18:00:00,임시,150,,,,2025,1,{},2025-02-10 09:00:00,8a83e599351e,,,,,,tenant-local-001,
aec66be6-2ae2-44eb-95a4-2d15b3cdcc9e,2025년 03월 복지·근태 정책 안내 점검 1차,복지 및 근태 정책 변경 공지를 사칭한 공격 유형에 대한 대응력을 강화합니다. 지출 결의와 세금계산서를 가장한 승인 요청에 대한 대응력을 높입니다.,재무전략실,"{재무전략실,결재보안}",tmpl-shipping-alert,tp-guide-1,정보보안팀,security@company.com,Asia/Seoul,"{security@company.com,financecontrol@company.com}",2025-03-04 09:00:00,2025-03-07 18:00:00,임시,138,,,,2025,1,{},2025-02-25 09:00:00,fe7f352b72fe,,,,,,tenant-local-001,
1401b2b1-6a81-4cd3-89f3-1e6b6a4651d3,급여 안내 템플릿 복제,,개발부,"{개발부,""개발부 > 2팀""}",b18e3e75-f810-4999-8fcd-f22c6840b089,8b825249-7b53-46c5-a6f2-101e71758d96,정보보안팀,nayeong.ju@evriz.co.kr,Asia/Seoul,{},2026-03-18 08:08:00,2026-03-18 09:11:20.332,완료,3,,,,2026,1,{12},2026-03-18 09:11:12.219,9829f55370bea3b743fa21e550b38b7e,,,,,,tenant-local-001,
ac8181c0-b409-4337-b6ab-c4dd8a56e6f7,2025년 03월 복지·근태 정책 안내 점검 2차,복지 및 근태 정책 변경 공지를 사칭한 공격 유형에 대한 대응력을 강화합니다. 설비 점검 일정을 사칭해 첨부파일 열람을 유도하는 유형을 다룹니다.,생산본부,"{생산본부,현장안전}",tmpl-m365-lock,tp-notice-1,정보보안팀,security@company.com,Asia/Seoul,"{security@company.com,plant@company.com}",2025-03-17 09:00:00,2025-03-20 18:00:00,완료,156,122,27,12,2025,1,{},2025-03-10 09:00:00,11ff0bd544c3,,,,,,tenant-local-001,
fa9ced01-570d-480b-9b7a-67d5196ccf9a,2025년 04월 결제·정산 요청 대응 훈련 1차,결제 요청과 정산 안내를 위장한 사회공학 패턴에 대비하는 훈련입니다. 설비 점검 일정을 사칭해 첨부파일 열람을 유도하는 유형을 다룹니다.,생산본부,"{생산본부,현장안전}",tmpl-m365-lock,tp-notice-1,정보보안팀,security@company.com,Asia/Seoul,"{security@company.com,plant@company.com}",2025-04-04 09:00:00,2025-04-07 18:00:00,완료,144,112,25,11,2025,2,{},2025-03-28 09:00:00,f80ab6b0c748,,,,,,tenant-local-001,
57dd06c6-db11-4802-903b-7153644589fc,2025년 06월 계정 보안 재인증 점검 2차,계정 보안 재인증 안내를 사칭한 시나리오로 인증 절차 준수 여부를 확인합니다. VPN 재인증과 클라우드 계정 설정 변경을 요구하는 위장 메일을 탐지하는 훈련입니다.,인프라운영실,"{인프라운영실,계정보안}",tmpl-m365-lock,tp-notice-1,정보보안팀,security@company.com,Asia/Seoul,"{security@company.com,itops@company.com}",2025-06-17 09:00:00,2025-06-20 18:00:00,임시,174,,,,2025,2,{},2025-06-10 09:00:00,76215faaa210,,,,,,tenant-local-001,
503aa26a-f7ee-4aea-8efe-36d074512c2f,급여 안내 템플릿,,개발부,"{개발부,""개발부 > 2팀""}",2d114035-e06e-4c03-84e4-15d5fefc6bbd,8b825249-7b53-46c5-a6f2-101e71758d96,테스트팀,nayeong.ju@evriz.co.kr,Asia/Seoul,{},2026-03-17 11:26:35.59,2026-03-17 15:00:00,완료,2,1,1,1,2026,1,{12},2026-03-18 01:38:31.735,c53bd92675397774fdcaf75987d8a721,,,,,,tenant-local-001,
56faafe9-4629-47cf-8177-8938e4241790,1234,,,{},"","",,"",Asia/Seoul,{},2026-03-18 05:14:00,2026-03-18 05:14:00,임시,0,,,,2026,1,{12},2026-03-18 05:40:31.727,cc0403512bc09e3796f8b3c1c8cd9c7c,,,,,,tenant-local-001,
6eb19de7-f963-4e7a-8765-7ea2caab1df8,급여 안내 템플릿 복제 2,,개발부,"{개발부,""개발부 > 2팀""}",b18e3e75-f810-4999-8fcd-f22c6840b089,8b825249-7b53-46c5-a6f2-101e71758d96,정보보안팀,nayeong.ju@evriz.co.kr,Asia/Seoul,{},2026-03-18 08:08:00,2026-03-18 09:11:45.31,완료,3,,,,2026,1,{12},2026-03-18 09:11:33.425,d36f386e43f275b037f291d64424b956,,,,,,tenant-local-001,
c3ed137f-0918-455d-89bf-7a4b251a103c,2025년 07월 거래처 요청 위장 대응 훈련 1차,거래처 요청과 납품 일정을 위장한 메일을 중심으로 승인 절차를 점검합니다. VPN 재인증과 클라우드 계정 설정 변경을 요구하는 위장 메일을 탐지하는 훈련입니다.,인프라운영실,"{인프라운영실,계정보안}",tmpl-m365-lock,tp-notice-1,정보보안팀,security@company.com,Asia/Seoul,"{security@company.com,itops@company.com}",2025-07-04 09:00:00,2025-07-07 18:00:00,임시,162,,,,2025,3,{},2025-06-27 09:00:00,b6b53f888341,,,,,,tenant-local-001,
e9cad72c-cfae-451a-aefd-6f74e2ae8360,2025년 07월 거래처 요청 위장 대응 훈련 2차,거래처 요청과 납품 일정을 위장한 메일을 중심으로 승인 절차를 점검합니다. 인사 발령 및 급여 정산 안내 메일을 위장한 공격 유형을 점검합니다.,인사부,"{인사부,교육프로그램}",tmpl-tax-refund,tp-result-1,정보보안팀,security@company.com,Asia/Seoul,"{security@company.com,hr@company.com}",2025-07-17 09:00:00,2025-07-20 18:00:00,완료,180,140,31,14,2025,3,{},2025-07-10 09:00:00,4500f0e46ab2,,,,,,tenant-local-001,
